Directory Name	Species	Common name	Other species names	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession	Source of assembly	NCBI assembly name	NCBI assembly status	Assembly submission date	Assembly submitter organization	contig N50 (bp)	scaffold N50 (bp)	No. ancestral genes with intact ORF	No. ancestral genes with inactivating mutations	No. ancestral genes with missing sequences
Nettapus_auritus__African_pygmy_goose__HLnetAur1__GCA_011076525.1	Nettapus auritus	African pygmy goose		658922	Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatidae incertae sedis; Nettapus	HLnetAur1	GCA_011076525.1	NCBI	BPBGC_Naur_1.0	Chromosome	2020-03-10	Brood Parasitic Bird Genomes Consortium	105147	26011715	-1	-1	-1
Aix_galericulata__mandarin_duck__HLaixGal1__GCA_024635365.1	Aix galericulata	mandarin duck	Anas galericulata	8832	Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Aix	HLaixGal1	GCA_024635365.1	NCBI	ASM2463536v1	Scaffold	2022-08-16	Academia Sinica	77396	78198423	-1	-1	-1
Aix_sponsa__Wood_duck__HLaixSpon1__GCA_051175885.1	Aix sponsa	Wood duck	Anas sponsa	8833	Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Aix	HLaixSpon1	GCA_051175885.1	NCBI	bAixSpo1_p1.1	Contig	2025-07-02	Canada's national platform for genome sequencing and analysis	5242973	5242973	NULL	NULL	NULL
Amazonetta_brasiliensis__Brazilian_duck__HLamaBras1__GCA_038381965.1	Amazonetta brasiliensis	Brazilian duck	Anas brasiliensis	75867	Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Amazonetta	HLamaBras1	GCA_038381965.1	NCBI	ASM3838196v1	Scaffold	2024-04-18	Iridian Genomes	38439	75223119	NULL	NULL	NULL
Anas_acuta__Northern_pintail__HLanaAcu1__GCF_963932015.1	Anas acuta	Northern pintail	pintail,common pintail	28680	Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Anas	HLanaAcu1	GCF_963932015.1	NCBI	bAnaAcu1.1	Chromosome	2024-02-07	WELLCOME SANGER INSTITUTE	3416933	76435830	-1	-1	-1
Anas_bahamensis__white-cheeked_pintail__HLanaBaha1__GCA_038381715.1	Anas bahamensis	white-cheeked pintail		75834	Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Anas	HLanaBaha1	GCA_038381715.1	NCBI	ASM3838171v1	Scaffold	2024-04-18	Iridian Genomes	9633	76845102	NULL	NULL	NULL
Anas_bernieri__Berniers_teal__HLanaBern1__GCA_032165215.1	Anas bernieri	Berniers teal	Querquedula bernieri	75835	Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Anas	HLanaBern1	GCA_032165215.1	NCBI	ASM3216521v1	Scaffold	2023-09-28	Iridian Genomes	42853	80193075	NULL	NULL	NULL
Anas_capensis__Cape_teal__HLanaCape1__GCA_032357685.1	Anas capensis	Cape teal	cape widgeon	8837	Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Anas	HLanaCape1	GCA_032357685.1	NCBI	ASM3235768v1	Scaffold	2023-10-04	Iridian Genomes	9950	64715642	NULL	NULL	NULL
Anas_crecca__Common_teal__HLanaCrec1__GCA_036873605.1	Anas crecca	Common teal	Eurasian teal,European teal,Nettion crecca	75839	Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Anas	HLanaCrec1	GCA_036873605.1	NCBI	ASM3687360v1	Scaffold	2024-02-26	Iridian Genomes	32370	79881237	NULL	NULL	NULL
Anas_melleri__Mellers_duck__HLanaMell1__GCA_052075425.1	Anas melleri	Mellers duck		75852	Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Anas	HLanaMell1	GCA_052075425.1	NCBI	ASM5207542v1	Scaffold	2025-08-16	Iridian Genomes	1864	29552448	NULL	NULL	NULL
Anas_platyrhynchos__Mallard__HLanaPla3__GCF_015476345.1	Anas platyrhynchos	Mallard	Anas domesticus,Anas boschas,mallard duck,Peking duck,Anas platyrhynchos f. domestica,domestic duck,duck,Beijing ducks,Pekin duck,mallard ducks	8839	Aves; Neognathae; Galloanserae; Anseriformes; Anatidae; Anatinae; Anas	HLanaPla3	GCF_015476345.1	NCBI	ZJU1.0	Chromosome	2020-11-23	Zhejiang University	5679408	76269206	-1	-1	-1
